name,area,category,latitude,longitude,description
Downtown Austin,Central,Central business district,30.271,-97.743,"High-rise downtown core with state government, offices, entertainment districts and Lady Bird Lake waterfront."
Clarksville,Central West,Historic freedmen's neighborhood,,,"One of Austin's earliest freedmen's communities from 1871, now a small-scale historic district preserving Black cultural history west of downtown."
Old West Austin,Central West,Early 20th-century suburb,,,"Plateau of early automobile-era suburbs (Old Enfield, Pemberton Heights, Bryker Woods) with historic homes between MoPac and Lamar."
Hyde Park,Central,Historic streetcar suburb,30.30583,-97.73,"Austin's first streetcar suburb from the 1890s, now a dense mix of historic bungalows, apartments and small businesses north of UT."
Travis Heights,South Central,Historic garden suburb,30.24167,-97.74167,Hilly South Austin neighborhood of 1920s–40s homes and greenbelts just east of South Congress and above Lady Bird Lake.
Bouldin Creek,South Central,Eclectic historic neighborhood,,,"Early 20th-century South Austin district mixing historic cottages, diverse residents, murals and creative shops along South 1st and South Congress."
Zilker,South Central,Historic neighborhood by Zilker Park,30.25,-97.767,"South-central neighborhood next to Zilker Park and Barton Springs, combining 1920s bungalows with newer homes and a strong outdoor and nightlife scene."
Tarrytown,Central West,Affluent lakeside neighborhood,,,"Leafy, upscale enclave west of MoPac with historic and midcentury homes, parks and Lake Austin access close to downtown."
Aldridge Place,Central,Small historic district,,,"Early 20th-century subdivision north of UT centered on Hemphill Park, with protected historic homes and landscaped medians."
East Cesar Chavez,East Central,Historic East Austin corridor,,,"Inner East Austin neighborhood along Cesar Chavez Street with Latino heritage, small bungalows and rapid mixed-use infill near downtown."
Holly,East Central,Lakeside infill neighborhood,,,"Formerly industrial strip along Lady Bird Lake centered on the decommissioned Holly Power Plant, now dense housing and new parkland."
Montopolis,East/Southeast,Historic working-class neighborhood,,,"Longstanding East Austin community with roots in an independent town, now a key focus of affordability and displacement debates."
Rosewood,East Central,Historic Black neighborhood,,,"East Austin neighborhood associated with African American history around Rosewood courts, parks and community institutions."
Chestnut,East Central,Small historic neighborhood,,,Compact East Austin district just east of I-35 with early 20th-century housing stock and an adopted neighborhood plan.
Hancock,Central,Central residential neighborhood,,,Central neighborhood north of UT containing Hancock Golf Course and a mix of older homes and apartments along Red River and I-35.
Allandale,North Central,Mid-century ranch neighborhood,,,"North-central neighborhood known for mid-century ranch houses, mature trees, parks and access to Shoal Creek and Burnet Road retail."
Rosedale,Central,Central bungalow neighborhood,,,"Central Austin area of 1930s–50s cottages near Ramsey Park, medical centers and the Burnet Road commercial corridor."
Brentwood,North Central,Postwar bungalow neighborhood,,,Postwar north-central area of small bungalows and duplexes with strong neighborhood identity and walkable Burnet/Koenig corridors.
Crestview,North Central,1950s ranch neighborhood,,,"North-central neighborhood of 1950s ranch homes and transit-oriented infill near Lamar, Burnet and the Crestview commuter rail station."
North Loop,Central,Eclectic inner-neighborhood,,,"Compact central neighborhood of older bungalows and eclectic vintage shops, bars and cafes clustered on North Loop Boulevard."
Windsor Park,East Central,Midcentury suburban neighborhood,,,"East Austin neighborhood of 1950s–60s ranch homes, diverse residents and quick access to Mueller, I-35 and US 290."
Cherrywood,East Central,Inner East Austin neighborhood,,,"Tree-lined inner East Austin area of older homes and bungalows between Manor Road and Airport Boulevard, popular with students and creatives."
Barton Hills,South Central,Greenbelt neighborhood,,,"Hilly south-central neighborhood backing onto the Barton Creek Greenbelt, with 1960s homes and strong trail and park access."
South Lamar,South Central,Urban corridor neighborhood,,,"Urbanizing neighborhood centered on South Lamar Boulevard, mixing older single-family streets with dense apartments, bars and restaurants."
Riverside,Southeast,Lakeside apartment corridor,,,"Neighborhood along East Riverside Drive with lakeside apartments, student housing and large-scale mixed-use redevelopment plans."
Mueller,Central East,Master-planned mixed-use redevelopment,30.30018,-97.70374,"711-acre redevelopment of the former municipal airport into a dense, walkable, mixed-income urban village with housing, offices, retail and parks."
The Domain,North,High-density mixed-use center,30.402025,-97.726006,"303-acre high-density mixed-use district in north Austin often called a second downtown, combining tech offices, apartments and upscale retail."
Circle C Ranch,Southwest,Large master-planned community,30.197,-97.904,"1980s master-planned community in southwest Austin with thousands of homes, parks, an 18-hole golf course and extensive greenbelt access."
Avery Ranch,Far Northwest,Master-planned golf community,,,"Far-northwest master-planned community of over 4,000 homes organized around a golf course, community centers, trails and Hill Country views."
Easton Park,Southeast,New master-planned community,30.14472,-97.71528,"Large southeast Austin planned unit development with thousands of planned homes, extensive parks, trails and community amenities near McKinney Falls."
Whisper Valley,Far East,Net-zero master-planned community,,,Net-zero capable planned community in far east Austin/Manor area built around shared geothermal and solar infrastructure and sustainable design.
Onion Creek,South/Southeast,Golf-course neighborhood,,,"Established private golf-course community at Austin's southern edge built around Onion Creek Club, with single-family homes, parks and trails."
