name,focus_type,street_address,city_state_zip,website,notes,sources,map_location
Austin Chamber of Commerce,Regional (Greater Austin business & economic development),535 E 5th St,"Austin, TX 78701",https://www.austinchamber.com,"Primary regional chamber supporting economic development, business advocacy, and regional initiatives like Opportunity Austin.","['web:1', 'web:31', 'web:34', 'web:37', 'web:42']",Downtown Austin near 5th Street / Congress area
Greater Austin Asian Chamber of Commerce,"Affinity (Asian Pacific American business community, Central Texas)","8001 Centre Park Dr, Suite 160","Austin, TX 78754",https://austinasianchamber.org,"Advocates for, connects, and educates the Asian Pacific American business community in Central Texas through advocacy, connections, and education.","['web:3', 'web:6', 'web:19', 'web:22', 'web:25', 'web:28']",Northeast Austin near US 290 and US 183
Greater Austin Hispanic Chamber of Commerce,"Affinity (Hispanic business community, Austin region)","1016 La Posada Dr, Suite 142","Austin, TX 78752",https://www.gahcc.org,"Trusted advocate and resource for the Hispanic business community in Greater Austin, focused on economic development, networking, and policy advocacy.","['web:3', 'web:6', 'web:12', 'web:17', 'web:20', 'web:23', 'web:26', 'web:29']",North Central Austin near Highland / St. John
Greater Austin Black Chamber of Commerce,"Affinity (Black-owned businesses and Black community, Austin)","912 E 11th St, Suite A","Austin, TX 78702",https://www.austinbcc.org,"Supports and mobilizes Black businesses in Austin, offering networking, business resources, and community-focused economic development.","['web:1', 'web:3', 'web:6', 'web:18', 'web:21', 'web:24', 'web:27', 'web:30']",East Austin along East 11th Street
Austin LGBT Chamber of Commerce,"Affinity (LGBTQ+ and allied businesses, Central Texas)",201 W 5th St,"Austin, TX 78701",https://austinlgbtchamber.com,"Central Texas hub for LGBTQ+ and allied businesses; focuses on marketing, education, community development, and events like Pride in Local Music.","['web:1', 'web:2', 'web:5', 'web:8', 'web:11', 'web:32', 'web:35', 'web:40', 'web:43']",Downtown Austin near 5th Street / Congress area
West Austin Chamber of Commerce,Geographic (West Austin business corridor),7710 N FM 620 Rd,"Austin, TX 78726",https://westaustinchamber.org,"Represents and advocates for businesses in the West Austin corridor (including ZIPs 78726, 78730, 78732, 78750, 78759), focusing on networking, education, and policy issues impacting West Austin.","['web:1', 'web:6', 'web:33', 'web:36', 'web:38', 'web:41', 'web:44']",Northwest Austin along FM 620 near Lake Travis
Lake Travis Chamber of Commerce,Geographic (Greater Lake Travis area),"14425 Falcon Head Blvd, Building E, Suite 100","Austin, TX 78738",https://www.laketravischamber.com,"Serves the greater Lake Travis area (Bee Cave, Lakeway, The Hills, Spicewood, etc.), promoting business growth and quality of life around Lake Travis.","['web:1', 'web:7', 'web:46', 'web:49', 'web:52', 'web:55', 'web:58']",Far West Austin / Lake Travis area near Bee Cave and Lakeway
Westlake Chamber of Commerce,Geographic (Westlake / West Lake Hills / Rollingwood area),"101 Westlake Dr, Suite 148","Austin, TX 78746",https://www.westlakechamber.com,"Nonprofit business membership organization promoting, connecting, and engaging businesses in the Westlake, West Lake Hills, and Rollingwood area.","['web:12', 'web:47', 'web:50', 'web:53', 'web:56', 'web:59']",Westlake / West Lake Hills just west of MoPac and Colorado River
Austin Young Chamber,"Affinity (young professionals and employers, Greater Austin)",Mailing address: 3575 Far West Blvd #30226,"Austin, TX 78731",https://austinyc.org,"501(c)(6) chamber for young professionals, focused on leadership development, civic engagement, and networking for members generally ages 21–40.","['web:3', 'web:12', 'web:45', 'web:48', 'web:51', 'web:54', 'web:57']",Northwest Austin Far West neighborhood
Buda Area Chamber of Commerce,Geographic (Buda and northern Hays County),"203 Railroad St, Suite 1C","Buda, TX 78610",https://www.budachamber.com,"Supports local businesses in Buda with networking, referrals, and advocacy; partners with the City of Buda and Buda EDC on recruitment and retention.","['web:3', 'web:12', 'web:60', 'web:63', 'web:66', 'web:69', 'web:72']",South of Austin in Buda / northern Hays County
Pflugerville Chamber of Commerce,Geographic (Pflugerville community and surrounding area),101 S 3rd St,"Pflugerville, TX 78660",https://www.pfchamber.com,"Local chamber for the Pflugerville area, now serving as the city’s official Convention and Visitors Bureau and providing business support and promotion.","['web:3', 'web:12', 'web:61', 'web:64', 'web:67', 'web:70', 'web:73']",Northeast of Austin in Pflugerville / Travis–Williamson County line
Round Rock Chamber of Commerce,Geographic (Round Rock and Williamson County),212 E Main St,"Round Rock, TX 78664",https://www.roundrockchamber.org,"Economic development-focused chamber for Round Rock, leading business recruitment, expansion, and advocacy in northern Austin metro.","['web:3', 'web:6', 'web:62', 'web:65', 'web:68', 'web:71']",North of Austin in downtown Round Rock
